rank,operator,count,self_cpu_time_ms,total_cpu_time_ms,self_cpu_memory_bytes,input_shapes
1,forward_backward,20,120.5068999999934,1092.4926000000005,-1924797200,[]
2,aten::mm,160,74.49639999999947,74.53959999999934,671088640,"[[2048, 128], [128, 512]]"
3,aten::mm,160,61.72910000000129,61.77089999999888,167772160,"[[2048, 512], [512, 128]]"
4,Optimizer.zero_grad#AdamW.zero_grad,20,55.696099999999845,55.696099999999845,-62366208,[]
5,aten::mm,80,51.75359999999917,51.77339999999973,20971520,"[[128, 2048], [2048, 512]]"
6,aten::gelu,80,39.78049999999987,39.78049999999987,335544320,"[[16, 128, 512], []]"
7,aten::mm,80,36.8312,36.84749999999977,20971520,"[[512, 2048], [2048, 128]]"
8,aten::bmm,240,36.2587999999989,36.30749999999994,251658240,"[[64, 128, 128], [64, 128, 32]]"
9,aten::gelu_backward,80,33.632199999999806,33.632199999999806,335544320,"[[16, 128, 512], [16, 128, 512], []]"
10,aten::mm,80,31.2077999999994,31.229299999999252,251658240,"[[2048, 128], [128, 384]]"
11,aten::mm,80,29.30730000000026,29.325200000000443,15728640,"[[384, 2048], [2048, 128]]"
12,aten::bmm,160,27.71519999999902,27.748899999999384,671088640,"[[64, 128, 32], [64, 32, 128]]"
13,aten::div,160,27.43129999999869,29.525899999999147,671088000,"[[16, 4, 128, 128], []]"
14,aten::mm,80,22.99109999999956,23.014999999999553,83886080,"[[2048, 384], [384, 128]]"
15,Optimizer.step#AdamW.step,20,20.91359999999216,77.00869999999986,-131297280,[]
16,aten::div,360,19.705000000000425,23.39579999999996,377485920,"[[16, 128, 128], []]"
17,aten::masked_fill_,160,18.65709999999864,18.65709999999864,0,"[[16, 4, 128, 128], [1, 1, 128, 128], []]"
18,aten::mm,160,17.850899999997672,17.886999999999933,167772160,"[[2048, 128], [128, 128]]"
19,aten::mul,540,16.608700000001264,16.608700000001264,566231040,"[[16, 128, 128], [16, 128, 128]]"
20,aten::_to_copy,4080,15.441600000000427,29.24899999999734,0,"[[], [], [], [], [], [], []]"
21,aten::_softmax,80,15.393899999999965,15.393899999999965,335544320,"[[16, 4, 128, 128], [], []]"
22,aten::sum,560,14.983699999999564,15.787200000000379,4352000,"[[16, 128, 128], [], [], []]"
23,aten::fill_,480,14.170599999999672,14.170599999999672,0,"[[16, 128, 384], []]"
24,aten::fill_,240,12.260000000000367,12.260000000000367,0,"[[16, 4, 128, 32], []]"
25,aten::fill_,240,10.929499999999756,10.929499999999756,0,"[[16, 128, 4, 32], []]"
26,aten::mm,80,10.529200000000204,10.547100000000123,5242880,"[[128, 2048], [2048, 128]]"
27,aten::add_,520,9.862299999998653,9.862299999998653,0,"[[16, 128, 128], [16, 128, 128], []]"
28,aten::bmm,80,9.844600000001824,9.861800000000807,83886080,"[[64, 32, 128], [64, 128, 128]]"
29,aten::copy_,420,9.610299999999707,9.610299999999707,0,"[[16, 128, 128], [16, 128, 128], []]"
30,aten::_softmax_backward_data,80,8.887100000000158,8.887100000000158,335544320,"[[16, 4, 128, 128], [16, 4, 128, 128], [], []]"
31,aten::empty_strided,4140,8.436800000004965,9.14369999999924,671760,"[[], [], [], [], [], []]"
32,aten::mul,360,7.343300000001098,7.343300000001098,377487360,"[[16, 128, 128], [128]]"
33,aten::sum,360,7.13539999999955,7.644400000001833,0,"[[16, 128, 128], [], [], [], [16, 128, 1]]"
34,aten::fill_,80,6.003300000000218,6.003300000000218,0,"[[16, 4, 32, 128], []]"
35,aten::to,4100,5.7542000000007425,35.00319999999808,0,"[[], [], [], [], []]"
36,aten::mul,360,5.7536000000012795,5.7536000000012795,377487360,"[[16, 128, 128], [16, 128, 1]]"
37,aten::empty,1200,5.743700000000084,50.07619999999886,2015243200,"[[], [], [], [], [], []]"
38,aten::copy_,240,5.4853999999989345,5.4853999999989345,0,"[[16, 4, 128, 32], [16, 4, 128, 32], []]"
39,aten::pow,360,5.080400000001603,7.864999999999989,377487360,"[[16, 128, 128], []]"
40,aten::add_,160,5.023999999999967,5.023999999999967,0,"[[16, 128, 384], [16, 128, 384], []]"
41,aten::copy_,160,5.022900000000576,5.022900000000576,0,"[[16, 4, 128, 128], [16, 4, 128, 128], []]"
42,aten::copy_,4080,4.93319999999799,4.93319999999799,0,"[[], [], []]"
43,aten::add,160,4.889299999999421,4.889299999999421,167772160,"[[16, 128, 128], [16, 128, 128], []]"
44,aten::fill_,160,4.614799999999906,4.614799999999906,0,"[[16, 4, 128, 128], []]"
45,aten::copy_,240,4.510300000000687,4.510300000000687,0,"[[16, 128, 4, 32], [16, 128, 4, 32], []]"
46,autograd::engine::evaluate_function: MulBackward0,360,4.114600000002359,37.80510000000219,-943718400,[]
47,aten::sub,180,3.872999999999578,3.872999999999578,188743680,"[[16, 128, 128], [16, 128, 1], []]"
48,aten::mul,180,3.6540999999997767,5.405899999999467,188742960,"[[16, 128, 128], []]"
49,aten::copy_,80,3.4531999999996152,3.4531999999996152,0,"[[16, 4, 32, 128], [16, 4, 32, 128], []]"
50,aten::mean,360,3.2997999999991086,18.103000000001114,2949120,"[[16, 128, 128], [], [], []]"
51,data_preparation,20,2.4240000000003055,3.1032000000002706,0,[]
52,optimizer_step,20,0.7289000000000743,77.73759999999993,-80,[]
