rank,operator,count,self_cpu_time_ms,total_cpu_time_ms,self_cpu_memory_bytes,input_shapes
1,forward_backward,20,135.24720000000048,1153.5583000000004,-1924797200,[]
2,Optimizer.zero_grad#AdamW.zero_grad,20,78.76519999999972,78.76519999999972,-62366208,[]
3,aten::mm,160,76.08230000000032,76.12609999999997,671088640,"[[2048, 128], [128, 512]]"
4,aten::mm,160,61.44440000000212,61.487100000000865,167772160,"[[2048, 512], [512, 128]]"
5,aten::mm,80,51.9620999999997,51.983699999999544,20971520,"[[128, 2048], [2048, 512]]"
6,aten::gelu,80,38.744400000000105,38.744400000000105,335544320,"[[16, 128, 512], []]"
7,aten::mm,80,36.3079999999993,36.326599999999736,20971520,"[[512, 2048], [2048, 128]]"
8,aten::bmm,240,35.75710000000005,35.80889999999992,251658240,"[[64, 128, 128], [64, 128, 32]]"
9,aten::mm,80,34.25109999999983,34.27449999999981,251658240,"[[2048, 128], [128, 384]]"
10,aten::gelu_backward,80,32.98000000000033,32.98000000000033,335544320,"[[16, 128, 512], [16, 128, 512], []]"
11,aten::mm,80,29.079700000000592,29.099400000000507,15728640,"[[384, 2048], [2048, 128]]"
12,aten::bmm,160,28.8371000000015,28.872400000000706,671088640,"[[64, 128, 32], [64, 32, 128]]"
13,aten::div,160,28.47760000000097,30.492300000001066,671088000,"[[16, 4, 128, 128], []]"
14,Optimizer.step#AdamW.step,20,24.31789999999964,86.03720000000001,-131297280,[]
15,aten::mm,80,24.141299999999823,24.167299999999766,83886080,"[[2048, 384], [384, 128]]"
16,aten::div,360,20.11249999999866,23.68939999999895,377485920,"[[16, 128, 128], []]"
17,aten::mm,160,18.516599999999766,18.554299999999355,167772160,"[[2048, 128], [128, 128]]"
18,aten::masked_fill_,160,17.687500000000586,17.687500000000586,0,"[[16, 4, 128, 128], [1, 1, 128, 128], []]"
19,aten::mul,540,17.42550000000114,17.42550000000114,566231040,"[[16, 128, 128], [16, 128, 128]]"
20,aten::_to_copy,4080,15.63750000000112,30.602000000001773,0,"[[], [], [], [], [], [], []]"
21,aten::_softmax,80,14.977799999999789,14.977799999999789,335544320,"[[16, 4, 128, 128], [], []]"
22,aten::fill_,240,14.441800000001699,14.441800000001699,0,"[[16, 4, 128, 32], []]"
23,aten::fill_,480,14.312700000001845,14.312700000001845,0,"[[16, 128, 384], []]"
24,aten::sum,560,14.255499999997548,15.120200000000317,4352000,"[[16, 128, 128], [], [], []]"
25,aten::fill_,240,11.422500000001381,11.422500000001381,0,"[[16, 128, 4, 32], []]"
26,aten::mm,80,10.218000000000215,10.236300000000345,5242880,"[[128, 2048], [2048, 128]]"
27,aten::bmm,80,9.930699999999117,9.950499999999982,83886080,"[[64, 32, 128], [64, 128, 128]]"
28,aten::copy_,420,9.691600000000378,9.691600000000378,0,"[[16, 128, 128], [16, 128, 128], []]"
29,aten::add_,520,9.657699999999691,9.657699999999691,0,"[[16, 128, 128], [16, 128, 128], []]"
30,aten::empty_strided,4100,9.149499999998985,9.794400000000461,16400,"[[], [], [], [], [], []]"
31,aten::_softmax_backward_data,80,8.82990000000086,8.82990000000086,335544320,"[[16, 4, 128, 128], [16, 4, 128, 128], [], []]"
32,aten::mul,360,7.338199999999982,7.338199999999982,377487360,"[[16, 128, 128], [128]]"
33,aten::sum,360,7.111099999999898,7.667400000001626,0,"[[16, 128, 128], [], [], [], [16, 128, 1]]"
34,aten::fill_,80,6.942700000000337,6.942700000000337,0,"[[16, 4, 32, 128], []]"
35,aten::to,4100,6.871899999997074,37.47389999999884,0,"[[], [], [], [], []]"
36,aten::empty,1340,6.587699999991069,55.752699999995265,2017536960,"[[], [], [], [], [], []]"
37,aten::mul,360,6.383699999999923,6.383699999999923,377487360,"[[16, 128, 128], [16, 128, 1]]"
38,aten::pow,360,5.441400000000399,8.209999999999852,377487360,"[[16, 128, 128], []]"
39,aten::add,160,5.366899999999635,5.366899999999635,167772160,"[[16, 128, 128], [16, 128, 128], []]"
40,aten::copy_,240,5.343300000001069,5.343300000001069,0,"[[16, 4, 128, 32], [16, 4, 128, 32], []]"
41,aten::copy_,4080,5.234000000000098,5.234000000000098,0,"[[], [], []]"
42,aten::fill_,160,5.0636999999994154,5.0636999999994154,0,"[[16, 4, 128, 128], []]"
43,aten::copy_,160,4.827600000001118,4.827600000001118,0,"[[16, 4, 128, 128], [16, 4, 128, 128], []]"
44,aten::add_,160,4.823499999999487,4.823499999999487,0,"[[16, 128, 384], [16, 128, 384], []]"
45,aten::copy_,240,4.542899999998927,4.542899999998927,0,"[[16, 128, 4, 32], [16, 128, 4, 32], []]"
46,aten::mm,20,4.115000000000214,4.120300000000206,10649600,"[[2048, 128], [128, 65]]"
47,autograd::engine::evaluate_function: MulBackward0,360,4.0491000000004425,38.39369999999937,-943718400,[]
48,aten::mul,180,3.9391999999985674,5.332699999999189,188742960,"[[16, 128, 128], []]"
49,aten::sub,180,3.9375000000002163,3.9375000000002163,188743680,"[[16, 128, 128], [16, 128, 1], []]"
50,aten::_log_softmax,20,3.7736999999999643,3.7736999999999643,10649600,"[[2048, 65], [], []]"
51,data_preparation,20,2.209999999999281,2.526699999999796,0,[]
52,optimizer_step,20,0.7352999999996973,86.77249999999971,-80,[]
